aleph_bsn_number
006205801
005888341
006016169
006016036
006005425
005037257
006005449
005682780
005888648
006005364
004163212
006054689
005887614
006016046
006004864
005887834
004240336
005888334
006004823
006206923
006005392
006016102
005887787
004094005
004093977
006207606
004094004
004094011
004094012
006206364
005037313
005057841
003798901
006206150
006224994
005057842
005837761
005033534
005057838
006207494
005037541
005055272
005055273
005057843
006207509
005057844
005057840
005057188
006214755
003992007
005055486
005054626
005037783
005055705
005057845
004319783
005033407
006207768
005057202
005055642
005055635
004319784
004319785
005055688
005057846
006213695
006213688
004317453
004319325
004319323
004319734
004319741
004319777
004319732
004319327
004319782
004319781
004319328
004319740
004319776
004317466
005055672
004317444
005014705
005014696
005837741
005054611
004317456
004319326
004319329
004319733
004319735
004319736
004319737
004319738
004319739
004319778
004319779
004319780
004319891
004319936
006016010
004319938
004319927
004319937
006207413
004319895
004319926
005682464
004319939
004319922
004319924
004319928
004319940
004319941
004319942
005682497
